C_CND_000001,2022-01-02,Black,26000,1,907,2,11
C_CND_000002,2022-01-02,Black,19000,2,1488,2,88
C_CND_000003,2022-01-02,Red,31500,3,433,1,1
C_CND_000004,2022-01-02,Pale White,14000,4,184,1,52
C_CND_000005,2022-01-02,Red,24500,5,5,2,18
C_CND_000006,2022-01-02,Pale White,12000,6,117,1,43
C_CND_000007,2022-01-02,Pale White,14000,7,259,1,6
C_CND_000008,2022-01-02,Pale White,42000,8,460,2,27
C_CND_000009,2022-01-02,Pale White,82000,9,2073,1,5
C_CND_000010,2022-01-02,Pale White,15000,10,4104,2,26
C_CND_000011,2022-01-02,Pale White,31000,11,145,1,27
C_CND_000012,2022-01-02,Pale White,46000,12,173,2,3525
C_CND_000013,2022-01-02,Black,9000,13,617,2,35
C_CND_000014,2022-01-02,Pale White,15000,14,497,2,22
C_CND_000015,2022-01-02,Pale White,26000,15,1187,1,75
C_CND_000016,2022-01-02,Pale White,17000,16,1072,1,8
C_CND_000017,2022-01-02,Black,18000,17,1885,1,36
C_CND_000018,2022-01-02,Pale White,31000,18,433,2,2
C_CND_000019,2022-01-02,Pale White,33000,19,4900,2,31
C_CND_000020,2022-01-02,Pale White,21000,20,224,2,3
C_CND_000021,2022-01-02,Black,25000,21,2026,1,27
C_CND_000022,2022-01-02,Black,21000,22,519,2,705
C_CND_000023,2022-01-02,Pale White,12000,23,115,1,75
C_CND_000024,2022-01-02,Pale White,18000,24,24,2,23
C_CND_000025,2022-01-02,Pale White,22000,25,75,2,31
C_CND_000026,2022-01-02,Pale White,31250,26,26,2,26
C_CND_000027,2022-01-02,Black,19000,27,2405,2,27
C_CND_000028,2022-01-02,Pale White,41000,28,1670,1,18
C_CND_000029,2022-01-02,Pale White,41000,29,1670,1,54
C_CND_000030,2022-01-02,Pale White,13000,30,841,1,2461
C_CND_000031,2022-01-02,Pale White,20000,31,686,1,15
C_CND_000032,2022-01-02,Pale White,14000,32,475,1,531
C_CND_000033,2022-01-02,Pale White,19000,33,224,2,3726
C_CND_000034,2022-01-02,Black,43000,34,2591,1,198
C_CND_000035,2022-01-02,Black,16000,35,2758,2,303
C_CND_000036,2022-01-03,Pale White,42000,36,1921,2,7
C_CND_000037,2022-01-03,Pale White,21000,37,10158,2,88
C_CND_000038,2022-01-03,Black,61000,38,112,2,22
C_CND_000039,2022-01-03,Pale White,39000,39,219,2,41
C_CND_000040,2022-01-03,Black,16000,40,1840,2,2
C_CND_000041,2022-01-03,Pale White,26000,41,1187,1,69
C_CND_000042,2022-01-03,Pale White,21000,42,2814,1,3
C_CND_000043,2022-01-03,Black,42500,43,3802,1,27
C_CND_000044,2022-01-03,Black,45001,44,468,2,11
C_CND_000045,2022-01-03,Black,36001,45,2014,1,35
C_CND_000046,2022-01-03,Pale White,12000,46,62,1,22
C_CND_000047,2022-01-03,Pale White,21001,47,497,1,41
C_CND_000048,2022-01-03,Pale White,29000,48,5,2,3
C_CND_000049,2022-01-03,Pale White,20000,49,49,2,27
